address,year
"г. Пермь, ул. Александра Невского, д. 30",1956
"г. Пермь, ул. Александра Невского, д. 32",1956
"г. Пермь, ул. Александра Невского, д. 37",1957
"г. Пермь, ул. Александра Пархоменко, д. 1, к. А",1951
"г. Пермь, ул. Александра Пархоменко, д. 1А",1951
"г. Пермь, ул. Александра Пархоменко, д. 8",1969
"г. Пермь, ул. Александра Пархоменко, д. 12",1985
"г. Пермь, ул. Александра Пархоменко, д. 20",1999
"г. Пермь, ул. Александра Пархоменко, д. 35",1949
"г. Пермь, ул. Александра Щербакова, д. 12",1950
"г. Пермь, ул. Александра Щербакова, д. 13",1951
"г. Пермь, ул. Александра Щербакова, д. 14",1949
"г. Пермь, ул. Александра Щербакова, д. 15",1951
"г. Пермь, ул. Александра Щербакова, д. 16",1951
"г. Пермь, ул. Александра Щербакова, д. 17",1951
"г. Пермь, ул. Александра Щербакова, д. 18",1950
"г. Пермь, ул. Александра Щербакова, д. 21",1950
"г. Пермь, ул. Александра Щербакова, д. 22",1955
"г. Пермь, ул. Александра Щербакова, д. 26",1954
"г. Пермь, ул. Александра Щербакова, д. 27",1956
"г. Пермь, ул. Александра Щербакова, д. .27",1956
"г. Пермь, ул. Александра Щербакова, д. 29",1956
"г. Пермь, ул. Александра Щербакова, д. 30",1959
"г. Пермь, ул. Александра Щербакова, д. 32",1958
"г. Пермь, ул. Александра Щербакова, д. 34",1961
"г. Пермь, ул. Александра Щербакова, д. 36",1960
"г. Пермь, ул. Александра Щербакова, д. 37",1971
"г. Пермь, ул. Александра Щербакова, д. 38",1960
"г. Пермь, ул. Александра Щербакова, д. 43",2008
"г. Пермь, ул. Александра Щербакова, д. 43, к. В",2015
"г. Пермь, ул. Александра Щербакова, д. 45",1974
"г. Пермь, ул. Александра Щербакова, д. 47",1975
"г. Пермь, ул. Александра Щербакова, д. 49",1979
"г. Пермь, ул. Александра Щербакова, д. 74",1955
"г. Пермь, ул. Анвара Гатауллина, д. 3",1955
"г. Пермь, ул. Анвара Гатауллина, д. 5",1967
"г. Пермь, ул. Анвара Гатауллина, д. 6",1962
"г. Пермь, ул. Анвара Гатауллина, д. 8",1962
"г. Пермь, ул. Анвара Гатауллина, д. 10",1962
"г. Пермь, ул. Анвара Гатауллина, д. 12",1961
"г. Пермь, ул. Анвара Гатауллина, д. 13",1958
"г. Пермь, ул. Анвара Гатауллина, д. 15",1958
"г. Пермь, ул. Анвара Гатауллина, д. 17",1958
"г. Пермь, ул. Анвара Гатауллина, д. 17 А",1961
"г. Пермь, ул. Анвара Гатауллина, д. 18",1957
"г. Пермь, ул. Анвара Гатауллина, д. 22",1957
"г. Пермь, ул. Анвара Гатауллина, д. 23",1959
"г. Пермь, ул. Анвара Гатауллина, д. 25",1959
"г. Пермь, ул. Анвара Гатауллина, д. 27",1974
"г. Пермь, ул. Анвара Гатауллина, д. 28",1957
"г. Пермь, ул. Анвара Гатауллина, д. 28А",1959
"г. Пермь, ул. Анвара Гатауллина, д. 29/1",1983
"г. Пермь, ул. Анвара Гатауллина, д. 29/2",1984
"г. Пермь, ул. Анвара Гатауллина, д. 30",1957
"г. Пермь, ул. Анвара Гатауллина, д. 32",1957
"г. Пермь, ул. Анвара Гатауллина, д. 34",1960
"г. Пермь, ул. Анвара Гатауллина, д. 36",1960
"г. Пермь, ул. Анвара Гатауллина, д. 38",1976
"г. Пермь, ул. Анри Барбюса, д. 39",1917
"г. Пермь, ул. Анри Барбюса, д. 41",1917
"г. Пермь, ул. Анри Барбюса, д. 45",2013
"г. Пермь, ул. Анри Барбюса, д. 51",2013
"г. Пермь, ул. Анри Барбюса, д. 53",2012
"г. Пермь, ул. Ардатовская, д. 32",1957
"г. Пермь, ул. Ардатовская, д. 34",1957
"г. Пермь, ул. Ардатовская, д. 36",1959
"г. Пермь, ул. Ардатовская, д. 38",1975
"г. Пермь, ул. Аркадия Гайдара, д. 4",1964
"г. Пермь, ул. Аркадия Гайдара, д. 5",2010
"г. Пермь, ул. Аркадия Гайдара, д. 6/1",1964
"г. Пермь, ул. Аркадия Гайдара, д. 6/2",1964
"г. Пермь, ул. Аркадия Гайдара, д. 7",1967
"г. Пермь, ул. Аркадия Гайдара, д. 8",1967
"г. Пермь, ул. Аркадия Гайдара, д. 9",1967
"г. Пермь, ул. Аркадия Гайдара, д. 11А",1978
"г. Пермь, ул. Аркадия Гайдара, д. 12",1964
"г. Пермь, ул. Аркадия Гайдара, д. 12, к. А",1996
"г. Пермь, ул. Аркадия Гайдара, д. 13, к. а",1983
"г. Пермь, ул. Аркадия Гайдара, д. 13А",1983
"г. Пермь, ул. Аркадия Гайдара, д. 14",1981
"г. Пермь, ул. Артиллерийская, д. 1",1961
"г. Пермь, п. Архиерейка, д. 4",1932
"г. Пермь, п. Архиерейка, д. 7",1934
"г. Пермь, п. Архиерейка, д. 8",1959
"г. Пермь, п. Архиерейка, д. 9",1947
"г. Пермь, п. Архиерейка, д. 11",1928
