address,year,Lon,Lat
"г. Пермь, ул. Академика Королева, д. 14",1992,56.214388,58.050831
"г. Пермь, ул. Академика Курчатова, д. 1",1969,56.221799,57.960743
"г. Пермь, ул. Академика Курчатова, д. 1, к. б",1972,56.220999,57.960194
"г. Пермь, ул. Академика Курчатова, д. 2",1970,56.219562,57.961688
"г. Пермь, ул. Академика Курчатова, д. 3",1969,56.220784,57.961335
"г. Пермь, ул. Академика Курчатова, д. 4",1968,56.218538,57.962868
"г. Пермь, ул. Академика Курчатова, д. 4А",1984,56.220218,57.962619
"г. Пермь, ул. Академика Курчатова, д. 5",1968,56.221745,57.961555
"г. Пермь, ул. Академика Курчатова, д. 6",1969,56.219355,57.962486
"г. Пермь, ул. Академика Курчатова, д. 7",1969,56.222598,57.961483
"г. Пермь, ул. Академика Курчатова, д. 9",1968,56.221296,57.962848
"г. Пермь, ул. Александра Матросова, д. 4",1966,56.213292,58.012453
"г. Пермь, ул. Александра Матросова, д. 6",1971,56.214415,58.011871
"г. Пермь, ул. Александра Невского, д. 2",1954,55.943186,57.997989
"г. Пермь, ул. Александра Невского, д. 8",1953,55.94501,57.999096
"г. Пермь, ул. Александра Невского, д. 10",1954,55.945414,57.999363
"г. Пермь, ул. Александра Невского, д. 10, к. А",1954,55.945585,57.999091
"г. Пермь, ул. Александра Невского, д. 10а",1954,55.945585,57.999091
"г. Пермь, ул. Александра Невского, д. 12, к. а",1954,55.946941,57.999868
"г. Пермь, ул. Александра Невского, д. 12А",1954,55.946941,57.999868
"г. Пермь, ул. Александра Невского, д. 14",1954,55.946483,57.999988
"г. Пермь, ул. Александра Невского, д. 18",1953,55.946851,58.000236
"г. Пермь, ул. Александра Невского, д. 22",1956,55.948998,58.001075
"г. Пермь, ул. Александра Невского, д. 24",1957,55.948873,58.001457
"г. Пермь, ул. Александра Невского, д. 27",1961,55.949771,58.00262
"г. Пермь, ул. Александра Невского, д. 28",1957,55.949986,58.002124
"г. Пермь, ул. Александра Невского, д. 30",1956,55.950723000000004,58.002177
"г. Пермь, ул. Александра Невского, д. 32",1956,55.950669,58.002568
"г. Пермь, ул. Александра Невского, д. 37",1957,55.952565,58.004556
"г. Пермь, ул. Александра Пархоменко, д. 1, к. А",1951,56.359079,58.081179
"г. Пермь, ул. Александра Пархоменко, д. 1А",1951,56.359079,58.081179
"г. Пермь, ул. Александра Пархоменко, д. 8",1969,56.359277,58.079576
"г. Пермь, ул. Александра Пархоменко, д. 12",1985,56.361073,58.079852
"г. Пермь, ул. Александра Пархоменко, д. 20",1999,56.359483,58.077839
"г. Пермь, ул. Александра Пархоменко, д. 35",1949,56.357965,58.077149
"г. Пермь, ул. Александра Щербакова, д. 12",1950,56.376291,58.127231
"г. Пермь, ул. Александра Щербакова, д. 13",1951,56.376228,58.126851
"г. Пермь, ул. Александра Щербакова, д. 14",1949,56.37692,58.127117
"г. Пермь, ул. Александра Щербакова, д. 15",1951,56.376938,58.126751
"г. Пермь, ул. Александра Щербакова, д. 16",1951,56.378016,58.126984
"г. Пермь, ул. Александра Щербакова, д. 17",1951,56.37727,58.126461
"г. Пермь, ул. Александра Щербакова, д. 18",1950,56.378654,58.126851
"г. Пермь, ул. Александра Щербакова, д. 21",1950,56.378429,58.126456
"г. Пермь, ул. Александра Щербакова, д. 22",1955,56.380756,58.126494
"г. Пермь, ул. Александра Щербакова, д. 26",1954,56.382148,58.126318
"г. Пермь, ул. Александра Щербакова, д. 27",1956,56.381115,58.126071
"г. Пермь, ул. Александра Щербакова, д. .27",1956,56.381115,58.126071
"г. Пермь, ул. Александра Щербакова, д. 29",1956,56.382139,58.125838
"г. Пермь, ул. Александра Щербакова, д. 30",1959,56.384025,58.126409
"г. Пермь, ул. Александра Щербакова, д. 32",1958,56.384744,58.126532
"г. Пермь, ул. Александра Щербакова, д. 34",1961,56.385597,58.126746
"г. Пермь, ул. Александра Щербакова, д. 36",1960,56.385876,58.127003
"г. Пермь, ул. Александра Щербакова, д. 37",1971,56.386586,58.126456
"г. Пермь, ул. Александра Щербакова, д. 38",1960,56.386657,58.127036
"г. Пермь, ул. Александра Щербакова, д. 43",2008,56.389029,58.12618
"г. Пермь, ул. Александра Щербакова, д. 43, к. В",2015,56.389838,58.126537
"г. Пермь, ул. Александра Щербакова, д. 45",1974,56.390089,58.127145
"г. Пермь, ул. Александра Щербакова, д. 47",1975,56.390898,58.127383
"г. Пермь, ул. Александра Щербакова, д. 49",1979,56.392092,58.12715
"г. Пермь, ул. Анвара Гатауллина, д. 3",1955,56.242056,57.961077
"г. Пермь, ул. Анвара Гатауллина, д. 5",1967,56.240888,57.961025
"г. Пермь, ул. Анвара Гатауллина, д. 6",1962,56.242226,57.960223
"г. Пермь, ул. Анвара Гатауллина, д. 8",1962,56.241633,57.960261
"г. Пермь, ул. Анвара Гатауллина, д. 10",1962,56.240987,57.960328
"г. Пермь, ул. Анвара Гатауллина, д. 12",1961,56.240241,57.960165
